RGPs	cluster	spot_id
NZ_JAYWZA010000003.1_RGP_1	cluster_5642	spot_22
NZ_LZAD01000053.1_RGP_0	cluster_5642	No spot
NZ_JFEB02000006.1_RGP_0	cluster_5642	spot_22
NC_011586.2_RGP_21	cluster_5642	spot_22
NZ_CAJHGB010000029.1_RGP_0	cluster_5642	No spot
NZ_JAVLQW010000002.1_RGP_1	cluster_5642	spot_22
NZ_UFIH01000005.1_RGP_0	cluster_5642	spot_22
NZ_JBEOJC010000006.1_RGP_0	cluster_5642	spot_22
NZ_JAKIIL010000011.1_RGP_1	cluster_5642	spot_22
NZ_LZAZ01000020.1_RGP_0	cluster_5642	No spot
NZ_JANBNU010000006.1_RGP_0	cluster_5642	spot_22
NZ_CP076807.1_RGP_25	cluster_5642	spot_22
NZ_JAIGXW010000042.1_RGP_0	cluster_5642	No spot
NZ_NGEO01000104.1_RGP_0	cluster_5642	No spot
NZ_LZTQ01000081.1_RGP_0	cluster_5642	No spot
NZ_CP191205.1_RGP_19	cluster_5642	spot_22
NZ_JAFEKL010000004.1_RGP_5	cluster_5642	spot_22
NZ_CP115632.1_RGP_23	cluster_5642	spot_22
NZ_LZBA01000106.1_RGP_0	cluster_5642	No spot
NZ_LZXW01000073.1_RGP_0	cluster_5642	No spot
NZ_LZXN01000044.1_RGP_0	cluster_5642	No spot
NZ_JBMBUR010000006.1_RGP_0	cluster_5642	spot_22
NZ_MSNP01000083.1_RGP_0	cluster_5642	No spot
NZ_JBJLUR010000004.1_RGP_1	cluster_5642	spot_22
NZ_JAXOQF010000004.1_RGP_1	cluster_5642	spot_22
NZ_QFDO01000016.1_RGP_2	cluster_5642	spot_22
NZ_ASFX01000063.1_RGP_0	cluster_5642	spot_22
NZ_JBDGHJ010000028.1_RGP_0	cluster_5642	spot_22
NZ_JAENTD010000001.1_RGP_0	cluster_5642	spot_22
NZ_WJOC01000006.1_RGP_0	cluster_5642	spot_22
NZ_LZBJ01000086.1_RGP_0	cluster_5642	No spot
NZ_JARVZD010000005.1_RGP_0	cluster_5642	spot_22
NZ_JBJOWX010000003.1_RGP_0	cluster_5642	spot_22
NZ_MABX01000012.1_RGP_0	cluster_5642	spot_22
NZ_JARVZQ010000004.1_RGP_0	cluster_5642	spot_22
NZ_CAUZJW010000006.1_RGP_0	cluster_5642	spot_22
NZ_CP197591.1_RGP_19	cluster_5642	spot_22
NZ_LZWL01000060.1_RGP_0	cluster_5642	spot_22
NZ_RXLU01000002.1_RGP_0	cluster_5642	spot_22
NZ_JARVZV010000011.1_RGP_0	cluster_5642	spot_22
