families	Element_symbol	Element_name	Scope	Type	Subtype	Class	Subclass	Method	Target_length	Reference_sequence_length	Prct_Coverage_of_reference	Prct_Identity_to_reference	Alignment_length	Closest_reference_accession	Closest_reference_name	HMM_accession	HMM_description
A1D04_RS04905	blaIMP-1	subclass B1 metallo-beta-lactamase IMP-1	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	247	246	100.00	100.00	246	WP_003159548.1	subclass B1 metallo-beta-lactamase IMP-1	NF012147.1	IMP family subclass B1 metallo-beta-lactamase
A7954_RS01290	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTP	284	283	100.00	100.00	283	WP_000946487.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
AA954_RS10025	blaKPC-2	carbapenem-hydrolyzing class A beta-lactamase KPC-2	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	294	293	100.00	100.00	293	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	NF012141.1	KPC family carbapenem-hydrolyzing class A beta-lactamase
AA954_RS10110	aac(6')-33	aminoglycoside 6'-N-acetyltransferase AAC(6')-33	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	ALLELEP	185	184	100.00	100.00	184	WP_015059044.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-33	NF033078.2	AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase
AB71190_RS19420	erm	23S ribosomal RNA methyltransferase Erm	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	291	301	94.68	48.25	286	WP_052259183.1	23S ribosomal RNA methyltransferase Erm	NF000499.2	23S ribosomal RNA methyltransferase Erm
ABAYE_RS17975	blaOXA-10	oxacillin-hydrolyzing class D beta-lactamase OXA-10	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	267	266	100.00	100.00	266	WP_000846390.1	oxacillin-hydrolyzing class D beta-lactamase OXA-10	NF000386.2	OXA-10 family class D beta-lactamase
ABAYE_RS18060	tet(G)	tetracycline efflux MFS transporter Tet(G)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	392	391	100.00	100.00	391	WP_001257840.1	tetracycline efflux MFS transporter Tet(G)	NF012192.0	tetracycline efflux MFS transporter Tet(G)
ABAYE_RS18075	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIALP	299	275	64.00	100.00	176	WP_063855066.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
ABAYE_RS19460	dfrA10	trimethoprim-resistant dihydrofolate reductase DfrA10	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	188	187	100.00	100.00	187	WP_001027119.1	trimethoprim-resistant dihydrofolate reductase DfrA10	NF000018.2	trimethoprim-resistant dihydrofolate reductase DfrA10
ABB035_RS16305	blaSCO-1	class A beta-lactamase SCO-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	288	100.00	100.00	288	WP_004197546.1	class A beta-lactamase SCO-1	NF000327.2	SCO family class A beta-lactamase
ABDN00_RS19290	blaDHA-1	extended-spectrum class C beta-lactamase DHA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	380	379	100.00	100.00	379	WP_004236386.1	extended-spectrum class C beta-lactamase DHA-1	NF012102.1	DHA family class C beta-lactamase
ABEV08_RS14165	arr	NAD(+)--rifampin ADP-ribosyltransferase	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	HMM	150	150	100.00	80.00	150	WP_063842214.1	NAD(+)--rifampin ADP-ribosyltransferase	NF033144.1	NAD(+)--rifampin ADP-ribosyltransferase
ABEV08_RS19315	arsD	arsenite efflux transporter metallochaperone ArsD	plus	STRESS	METAL	ARSENIC	ARSENITE	HMM	121	120	100.00	59.17	120	AAA93060.1	arsenite efflux transporter metallochaperone ArsD	NF033727.2	arsenite efflux transporter metallochaperone ArsD
ABKR40_RS13815	armA	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	258	257	100.00	100.00	257	WP_000359986.1	16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA	NF000466.2	Rmt family 16S rRNA (guanine(1405)-N(7))-methyltransferase
ABKR40_RS13830	msr(E)	ABC-F type ribosomal protection protein Msr(E)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN	EXACTP	492	491	100.00	100.00	491	WP_000052512.1	ABC-F type ribosomal protection protein Msr(E)	NF000168.2	Msr family ABC-F type ribosomal protection protein
ABKR40_RS15175	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEP	116	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NF000276.2	quaternary ammonium compound efflux SMR transporter QacE
ABKR40_RS15205	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	287	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NF000531.2	TEM family class A beta-lactamase
ABKR40_RS16105	catB8	type B-3 chloramphenicol O-acetyltransferase CatB8	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	211	210	100.00	100.00	210	WP_002075262.1	type B-3 chloramphenicol O-acetyltransferase CatB8	NF000490.1	type B chloramphenicol O-acetyltransferase
ABKR40_RS16135	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTP	272	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NF051474.1	aminoglycoside O-phosphotransferase APH(3')-Ia
ABS219_RS16805	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTP	204	203	100.00	97.54	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
ACEYW7_RS11090	rmtC	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	282	281	100.00	100.00	281	WP_000855769.1	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase	NF000150.1	RmtC family 16S rRNA (guanine(1405)-N(7))-methyltransferase
ACEYW7_RS11565	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTP	246	245	100.00	99.59	245	WP_002321849.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
ACIN5098_RS11115	blaCMY-30	extended-spectrum class C beta-lactamase CMY-30	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	382	381	100.00	100.00	381	WP_000976513.1	extended-spectrum class C beta-lactamase CMY-30	NF000191.1	CMY-2 family class C beta-lactamase
ACINWC692_RS05475	fos	fosfomycin resistance glutathione transferase FosLL	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	BLASTP	136	135	100.00	95.56	135	WP_000777201.1	fosfomycin resistance glutathione transferase FosLL	NF033405.1	fosfomycin resistance glutathione transferase FosLL
